iter	Passed	Remaining
574	1408	1040
575	1412	1039
576	1414	1037
577	1416	1034
578	1418	1031
579	1421	1029
580	1423	1026
581	1425	1024
582	1428	1021
583	1430	1018
584	1432	1016
585	1434	1013
586	1436	1010
587	1438	1008
588	1441	1005
589	1443	1003
590	1445	1000
591	1448	997
592	1450	995
593	1452	992
594	1455	990
595	1457	988
596	1459	985
597	1462	982
598	1464	980
599	1466	977
600	1468	975
601	1471	972
602	1474	970
603	1476	968
604	1479	965
605	1481	963
606	1483	960
607	1486	958
608	1488	955
609	1490	953
610	1493	950
611	1495	947
612	1497	945
613	1499	942
614	1501	940
615	1504	937
616	1507	935
617	1509	932
618	1511	930
619	1513	927
620	1515	925
621	1517	922
622	1520	920
623	1523	917
624	1525	915
625	1527	912
626	1529	910
627	1532	907
628	1534	904
629	1537	902
630	1539	900
631	1541	897
632	1544	895
633	1546	892
634	1548	890
635	1551	887
636	1554	885
637	1556	883
638	1558	880
639	1561	878
640	1563	875
641	1565	872
642	1568	870
643	1570	868
644	1572	865
645	1575	863
646	1577	860
647	1579	857
648	1581	855
649	1584	853
650	1587	850
651	1589	848
652	1591	845
653	1593	843
654	1596	840
655	1599	838
656	1601	836
657	1603	833
658	1605	830
659	1608	828
660	1610	825
661	1612	823
662	1615	821
663	1617	818
664	1619	816
665	1622	813
666	1624	810
667	1626	808
668	1629	805
669	1632	804
670	1634	801
671	1637	799
672	1639	796
673	1641	793
674	1643	791
675	1646	789
676	1649	786
677	1651	784
678	1653	781
679	1655	779
680	1658	776
681	1660	774
682	1663	772
683	1665	769
684	1667	767
685	1670	764
686	1672	761
687	1674	759
688	1677	757
689	1679	754
690	1681	752
691	1684	749
692	1686	747
693	1688	744
694	1690	742
695	1693	739
696	1696	737
697	1698	734
698	1700	732
699	1703	729
700	1705	727
701	1707	724
702	1710	722
703	1712	720
704	1714	717
705	1717	715
706	1719	712
707	1721	710
708	1723	707
709	1727	705
710	1730	703
711	1732	700
712	1734	698
713	1736	695
714	1739	693
715	1741	690
716	1744	688
717	1746	686
718	1748	683
719	1751	680
720	1753	678
721	1755	675
722	1758	673
723	1760	671
724	1763	668
725	1765	666
726	1767	663
727	1769	661
728	1771	658
729	1774	656
730	1777	653
731	1779	651
732	1781	648
733	1783	646
734	1786	643
735	1788	641
736	1791	639
737	1794	637
738	1797	634
739	1799	632
740	1801	629
741	1804	627
742	1807	625
743	1810	622
744	1813	620
745	1815	618
746	1818	615
747	1821	613
748	1825	611
749	1828	609
750	1830	607
751	1833	604
752	1836	602
753	1839	600
754	1841	597
755	1844	595
756	1846	592
757	1848	590
758	1851	587
759	1853	585
760	1856	583
761	1858	580
762	1860	577
763	1862	575
764	1864	572
765	1867	570
766	1870	568
767	1872	565
768	1874	563
769	1876	560
770	1879	558
771	1881	555
772	1883	553
773	1886	550
774	1888	548
775	1890	545
776	1892	543
777	1895	540
778	1897	538
779	1899	535
780	1902	533
781	1904	530
782	1906	528
783	1909	525
784	1911	523
785	1913	520
786	1915	518
787	1918	516
788	1920	513
789	1922	511
790	1925	508
791	1927	506
792	1929	503
793	1931	501
794	1934	498
795	1936	496
796	1939	493
797	1941	491
798	1943	488
799	1945	486
800	1947	483
801	1950	481
802	1953	479
803	1955	476
804	1957	474
805	1959	471
806	1961	469
807	1963	466
808	1966	464
809	1969	461
810	1971	459
811	1973	456
812	1975	454
813	1977	451
814	1979	449
815	1982	447
816	1985	444
817	1987	442
818	1989	439
819	1991	437
820	1993	434
821	1996	432
822	1998	429
823	2001	427
824	2003	424
825	2005	422
826	2007	419
827	2009	417
828	2011	414
829	2014	412
830	2016	410
831	2019	407
832	2021	405
833	2023	402
834	2025	400
835	2027	397
836	2031	395
837	2033	393
838	2035	390
839	2037	388
840	2040	385
841	2042	383
842	2044	380
843	2047	378
844	2049	376
845	2051	373
846	2054	371
847	2056	368
848	2058	366
849	2060	363
850	2063	361
851	2066	358
852	2068	356
853	2070	353
854	2072	351
855	2074	349
856	2077	346
857	2080	344
858	2082	341
859	2084	339
860	2087	336
861	2089	334
862	2091	332
863	2094	329
864	2096	327
865	2099	324
866	2101	322
867	2103	319
868	2106	317
869	2108	315
870	2111	312
871	2114	310
872	2116	307
873	2118	305
874	2120	302
875	2123	300
876	2125	298
877	2128	295
878	2130	293
879	2132	290
880	2135	288
881	2137	285
882	2139	283
883	2142	281
884	2144	278
885	2147	276
886	2149	273
887	2151	271
888	2154	268
889	2156	266
890	2159	264
891	2161	261
892	2163	259
893	2165	256
894	2168	254
895	2170	251
896	2173	249
897	2176	247
898	2178	244
899	2180	242
900	2182	239
901	2185	237
902	2187	234
903	2190	232
904	2193	230
905	2195	227
906	2197	225
907	2199	222
908	2201	220
909	2203	217
910	2206	215
911	2209	213
912	2211	210
913	2213	208
914	2215	205
915	2217	203
916	2220	200
917	2224	198
918	2226	196
919	2229	193
920	2231	191
921	2234	189
922	2236	186
923	2240	184
924	2242	181
925	2245	179
926	2248	177
927	2251	174
928	2255	172
929	2258	170
930	2261	167
931	2264	165
932	2266	162
933	2270	160
934	2273	158
935	2275	155
936	2278	153
937	2280	150
938	2282	148
939	2285	145
940	2287	143
941	2290	141
942	2292	138
943	2294	136
944	2296	133
945	2298	131
946	2301	128
947	2304	126
948	2306	123
949	2308	121
950	2310	119
951	2312	116
952	2315	114
953	2318	111
954	2320	109
955	2322	106
956	2324	104
957	2327	102
958	2329	99
959	2331	97
960	2334	94
961	2336	92
962	2339	89
963	2341	87
964	2343	85
965	2345	82
966	2348	80
967	2351	77
968	2353	75
969	2355	72
970	2357	70
971	2359	67
972	2362	65
973	2364	63
974	2367	60
975	2370	58
976	2372	55
977	2374	53
978	2376	50
979	2378	48
980	2381	46
981	2383	43
982	2386	41
983	2388	38
984	2390	36
985	2392	33
986	2394	31
987	2397	29
988	2400	26
989	2402	24
990	2404	21
991	2407	19
992	2409	16
993	2411	14
994	2415	12
995	2417	9
996	2419	7
997	2422	4
998	2424	2
999	2426	0
